Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1GHJ6Qt08DWmbozdSJ4s0d,"6whPaMyAuGAKK63gAFDiFy","Burglar Alarm with High and Low Alternating Pitch","Alarms, Sirens, And Whistle Sound Effects","Digiffects Sound Effects Library",2016-02-27,31230,24,spotify:user:young_lukes,2022-09-20T03:59:41Z,"sound effects",0.304,0.112,11,-25.959,0,0.0486,0.0000702,0.967,0.113,0.334,217.709,4
3XtbtOMVVBooqbcGz8UErp,"4fSMtiyC6lF5BUO1tUMWMs,7mTcyvqv1GInWjOTVkz6h1","Monkeys Spinning Monkeys","Monkeys Spinning Monkeys","Kevin MacLeod,Kevin",2019-10-10,125000,50,spotify:user:young_lukes,2022-09-20T04:02:27Z,"",0.932,0.212,7,-17.997,1,0.16,0.904,0.885,0.11,0.902,144.059,4
0gEpB5bBQGGRbJD2bDluj4,"6gj3sMEZYP6IESIptoXnrP","free drugs","Pulp (Director’s Cut)","Ambré",2020-07-31,312955,20,spotify:user:nyonas1221,2022-09-20T04:13:45Z,"alternative r&b,chill r&b,indie r&b,pop r&b,r&b,trap soul",0.401,0.469,10,-10.91,0,0.189,0.0972,0.0055,0.342,0.352,81.978,4
0H6CZCG2F1N3XZWNZAVqE7,"4jwROPSUkTkohLCRiyjiZZ","BILL$","COLORWAY","DESTIN CONRAD",2021-03-05,143092,57,spotify:user:nyonas1221,2022-09-20T04:14:00Z,"alternative r&b,chill r&b,indie r&b,r&b",0.681,0.324,2,-8.565,0,0.123,0.399,0.0000232,0.0754,0.431,135.088,4
0314PeD1sQNonfVWix3B2K,"6vWDO969PvNqNYHIOW5v0m,46MWeeHNVMYRIIofQBEX98","ENERGY (feat. Beam)","RENAISSANCE","Beyoncé,BEAM",2022-07-29,116727,77,spotify:user:nyonas1221,2022-09-20T04:14:26Z,"dance pop,pop,r&b,trap soul",0.903,0.519,1,-9.151,1,0.26,0.281,0.000106,0.155,0.587,114.991,4
3iVcZ5G6tvkXZkZKlMpIUs,"2YZyLoL8N0Wb9xBt1NhZWg","Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,79,spotify:user:nyonas1221,2022-09-20T04:16:06Z,"conscious hip hop,hip hop,rap,west coast rap",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
3EG9FJ0ToLfgnc1IG2Z1wz,"4V8LLVI7PbaPR0K2TGSxFF,3tlXnStJ1fFhdScmQeLpuG,4yJHrytMK7mqtKsXVGaBNg","SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)","CALL ME IF YOU GET LOST","Tyler, The Creator,Brent Faiyaz,Fana Hues",2021-06-25,588139,75,spotify:user:11160411205,2022-09-20T04:18:18Z,"hip hop,rap,dmv rap,pop,r&b,alternative r&b,chill r&b,indie r&b,indie soul",0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,4
7FrJV8tydWEv1Mxu2mIQrm,"7hJcb9fa4alzcOq3EaNPoG,2RdwBSPQiwcmiDo9kixcl8,6B5fQU6gKaq7JPRL4YIg1B","Beautiful","Paid Tha Cost To Be Da Bo$$","Snoop Dogg,Pharrell Williams,Uncle Charlie Wilson",2002-01-01,298306,64,spotify:user:juandiego1337,2022-09-20T04:24:27Z,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap,pop",0.907,0.695,11,-6.268,0,0.135,0.246,0,0.0808,0.961,101.007,4
6JqwuALkOqCYXMDO3llZUm,"5069JTmv5ZDyPeZaCCXiCg","seasons","summer flows 0.02","wave to earth",2020-08-04,256000,60,spotify:user:12166761532,2022-09-20T05:27:06Z,"chill r&b,korean city pop",0.354,0.277,7,-10.62,1,0.0271,0.782,0.0585,0.218,0.163,60.037,4
3DcL8FXLA9iKwqnyj9POLt,"1ybINI1qPiFbwDXamRtwxD,6U3ybJ9UHNKEdsH7ktGBZ7,1rHOtdmGNr5vcYNw5v7QGC","Baguetti (with JID & Kenny Beats)","Baguetti (with JID & Kenny Beats)","Smino,JID,Kenny Beats",2020-07-21,180765,55,spotify:user:12166761532,2022-09-20T05:27:30Z,"hip hop,rap,underground hip hop,trap",0.788,0.513,7,-9.56,1,0.535,0.418,0,0.125,0.663,70.08,4
4n358XQMHXd0xi6NazWdxr,"6qgnBH6iDM91ipVXv28OMu,5XenQ7XfcvQdfIbpLEFaKQ,4e8ULyN5otwmBHxanRiBnP,2sihWpnEorLd86tRAaDUrc","Vex Oh (feat. Eight9FLY)","BUBBA","KAYTRANADA,GoldLink,Ari PenSmith,Eight9FLY",2019-12-13,162146,63,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-20T23:46:06Z,"escape room,lgbtq+ hip hop,dmv rap,hip hop,pop,r&b,rap,underground hip hop",0.742,0.645,6,-10.248,1,0.386,0.148,0.0000286,0.0861,0.804,112.402,4
6ZOcbKub95XSDESsKKuH41,"1mcTU81TzQhprhouKaTkpq,37230BxxYs9ksS7OkZw3IU","Desesperados","Desesperados","Rauw Alejandro,Chencho Corleone",2021-12-11,224996,81,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-20T23:46:27Z,"puerto rican pop,trap latino,reggaeton flow",0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,4
6Sq7ltF9Qa7SNFBsV5Cogx,"4q3ewBCX7sLwd24euuV69X,37230BxxYs9ksS7OkZw3IU","Me Porto Bonito","Un Verano Sin Ti","Bad Bunny,Chencho Corleone",2022-05-06,178567,95,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-20T23:46:38Z,"reggaeton,trap latino,reggaeton flow",0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0000268,0.0933,0.425,92.005,4
3NWTRZ0A8xKlBP1qgNftql,"7GN9PivdemQRKjDt4z5Zv8","Special Affair","Ego Death","The Internet",2015-06-26,176186,61,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-21T00:25:04Z,"alternative r&b,indie soul,lgbtq+ hip hop,neo soul,r&b,rap",0.795,0.409,9,-10.134,0,0.0859,0.183,0.00108,0.112,0.518,120.095,4
0IX5OFffosy8wk16m1IFCa,"4Gso3d4CscCijv0lmajZWs,1U1el3k54VvEUzo3ybLPlM","Drugs N Hella Melodies (feat. Kali Uchis)","Life of a DON","Don Toliver,Kali Uchis",2021-10-08,198057,67,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-21T00:26:08Z,"pop,rap,trap,colombian pop",0.56,0.707,1,-6.863,0,0.07,0.264,0.000268,0.108,0.341,147,4
37Nqx7iavZpotJSDXZWbJ3,"3TVXtAsR1Inumwj472S9r4,5f7VJjfbwm532GiveGC0ZK","Girls Want Girls (with Lil Baby)","Certified Lover Boy","Drake,Lil Baby",2021-09-03,221979,78,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-21T00:26:12Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,atl hip hop,atl trap,trap",0.767,0.438,7,-8.726,0,0.29,0.181,0,0.142,0.381,86.975,4
5Rv9grENo0PwMFd3ZCT3Zp,"2LIk90788K0zvyj2JJVwkJ,0UcXjTpzt0DmIwPSNwlJfF","I WANNA SEE SOME ASS (feat. jetsonmade)","Sweet Action","Jack Harlow,jetsonmade",2020-03-12,125302,51,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-21T00:26:17Z,"deep underground hip hop,kentucky hip hop,pop,rap",0.907,0.652,0,-7.733,1,0.0578,0.284,0.000337,0.135,0.93,107.952,4
